Date;Open*;High;Low;Close**;Volume;Market Cap
05/06/2015;0,476499;0,505126;0,469603;0,498892;33178;3788650
06/06/2015;0,504834;0,531513;0,494784;0,526428;61552;4021480
07/06/2015;0,526472;0,534333;0,495418;0,517933;60901;4201680
08/06/2015;0,515774;0,552648;0,504766;0,542956;60437;4123340
09/06/2015;0,543491;0,548059;0,452515;0,495991;84617;4352640
10/06/2015;0,493943;0,497465;0,473942;0,479738;18563;3962800
11/06/2015;0,479596;0,491135;0,458411;0,462852;39601;3851510
12/06/2015;0,461866;0,496143;0,456475;0,470966;37697;3718430
13/06/2015;0,470766;0,489714;0,459585;0,489472;38193;3796760
14/06/2015;0,487891;0,496882;0,474605;0,49497;25286;3941870
15/06/2015;0,495178;0,51544;0,493206;0,508224;27100;4007810
16/06/2015;0,505134;0,515859;0,489906;0,506086;47599;4095180
17/06/2015;0,507717;0,523661;0,493578;0,50334;35110;4123450
18/06/2015;0,502986;0,506237;0,48855;0,50388;18521;4092280
19/06/2015;0,503972;0,539115;0,495827;0,511796;36206;4107130
20/06/2015;0,514188;0,546906;0,503838;0,53798;46906;4197910
21/06/2015;0,537554;0,542974;0,520188;0,523274;20026;4396240
22/06/2015;0,526186;0,540942;0,519536;0,540599;24145;4310580
23/06/2015;0,540583;0,54128;0,518084;0,526921;34151;4436020
24/06/2015;0,526948;0,531123;0,502254;0,506506;30722;4331280
25/06/2015;0,509393;0,517542;0,497704;0,503678;20286;4194070
26/06/2015;0,503591;0,503591;0,477839;0,484247;27929;4153430
27/06/2015;0,483322;0,503799;0,475463;0,491951;25068;3992970
28/06/2015;0,489918;0,496296;0,446696;0,470636;35450;4054450
29/06/2015;0,469706;0,506616;0,454029;0,493447;38116;3893490
30/06/2015;0,493517;0,507952;0,48222;0,500266;20586;4097860
01/07/2015;0,499344;0,507624;0,485761;0,498848;16986;4152950
02/07/2015;0,498977;0,506656;0,473017;0,492605;23017;4156770
03/07/2015;0,492674;0,49911;0,483622;0,491196;19161;4111000
04/07/2015;0,492272;0,508582;0,487245;0,507361;9823;4114420
05/07/2015;0,506999;0,528074;0,499398;0,521969;21263;4244470
06/07/2015;0,522178;0,524661;0,497707;0,505507;33776;4378680
07/07/2015;0,507229;0,51346;0,494695;0,512376;15739;4260280
08/07/2015;0,51141;0,523209;0,501646;0,51399;19413;4302200
09/07/2015;0,514289;0,516238;0,482391;0,497226;32530;4333650
10/07/2015;0,4863;0,555355;0,484886;0,520876;31812;4099850
11/07/2015;0,520567;0,548013;0,517228;0,539175;18728;4388740
12/07/2015;0,539135;0,64576;0,539135;0,628094;66012;4545280
13/07/2015;0,631493;0,635161;0,545211;0,572132;17500;5323920
14/07/2015;0,571649;0,581572;0,550451;0,570033;13521;4819400
15/07/2015;0,562987;0,577868;0,540471;0,541855;20021;4789930
16/07/2015;0,541435;0,558581;0,514705;0,536325;13229;4613990
17/07/2015;0,536343;0,537956;0,507398;0,535182;10526;4577990
18/07/2015;0,535249;0,546805;0,51635;0,523595;15685;4575510
19/07/2015;0,528092;0,542489;0,51608;0,537989;15024;4521330
